Year,Score Ranges.Between 200 to 300.Verbal.Total,Score Ranges.Between 300 to 400.Verbal.Total,Score Ranges.Between 400 to 500.Verbal.Total,Score Ranges.Between 500 to 600.Verbal.Total,Score Ranges.Between 600 to 700.Verbal.Total,Score Ranges.Between 700 to 800.Verbal.Total
2005,36120,167462,416035,422371,231634,71196
2006,33894,180778,421015,416028,225237,62779
2007,37462,190616,465114,429643,231212,70484
2008,40261,199912,462438,439327,237873,65757
2009,3221,6542,3136,244700,903484,295671
2010,41125,209947,471667,438844,230409,65496
2011,44433,227833,500297,453021,238891,69851
2012,45885,239453,495746,462470,226585,70390
2013,48326,224533,504502,456057,227862,71894
2014,50701,231271,487158,458581,238821,68517
2015,52855,239072,498715,459912,234783,67201
